SMILES,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,local_heteroatom_count,nearest_heteroatom_distance,local_conjugation,error
COc1cc(C(=O)O)ccc1O,4.49,COc1cc(C(=O)O)ccc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,1,2,1,
COc1cc(CC(=O)O)ccc1O,4.41,COc1cc(CC(=O)O)ccc1O,182.175,1.0279,66.76,3,2,3,1,0.222222,0,0,1,1,2,1,
COc1cc(OC)cc(C(=O)O)c1,3.97,COc1cc(OC)cc(C(=O)O)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,1,2,1,
COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58,COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,213.145,1.0072,109.9,5,2,3,1,0.125,0,0,1,1,2,1,
COc1cc2ccccc2cc1C(=O)O,3.8,COc1cc2ccccc2cc1C(=O)O,202.209,2.5466,46.53,2,1,2,2,0.083333,0,0,1,1,2,1,
COc1ccc(C(=O)O)c(C(=O)O)c1,2.67,COc1ccc(C(=O)O)c(C(=O)O)c1,196.158,1.0916,83.83,3,2,3,1,0.111111,0,0,2,2,4,2,
COc1ccc(C(=O)O)c(N)c1,4.88,COc1ccc(C(=O)O)c(N)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,1,2,1,
COc1ccc(C(=O)O)c(O)c1,3.31,COc1ccc(C(=O)O)c(O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,1,2,1,
COc1ccc(C(=O)O)c(OC)c1,4.36,COc1ccc(C(=O)O)c(OC)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,1,2,1,
COc1ccc(C(=O)O)c2ccccc12,4.31,COc1ccc(C(=O)O)c2ccccc12,202.209,2.5466,46.53,2,1,2,2,0.083333,0,0,1,1,2,1,
COc1ccc(C(=O)O)cc1,4.2783750000000005,COc1ccc(C(=O)O)cc1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,1,2,1,
COc1ccc(C(=O)O)cc1O,4.47,COc1ccc(C(=O)O)cc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,1,2,1,
COc1ccc(C(=O)O)cc1OC,4.395,COc1ccc(C(=O)O)cc1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,1,2,1,
COc1ccc(C(=O)O)s1,3.8,COc1ccc(C(=O)O)s1,158.178,1.4549,46.53,3,1,2,1,0.166667,0,0,1,1,2,1,
COc1ccc(C(O)C(=O)O)cc1,3.42,COc1ccc(C(O)C(=O)O)cc1,182.175,0.8132,66.76,3,2,3,1,0.222222,0,0,1,1,2,1,
COc1ccc(C2CC2C(=O)O)cc1,4.62,COc1ccc(C2CC2C(=O)O)cc1,192.214,1.8833,46.53,2,1,3,1,0.363636,0,0,1,1,2,1,
COc1ccc(C=O)c(C(=O)O)c1OC,3.065,COc1ccc(C=O)c(C(=O)O)c1OC,210.185,1.2145,72.83,4,1,4,1,0.2,0,0,1,1,2,1,
COc1ccc(CC(=O)O)cc1,4.07,COc1ccc(CC(=O)O)cc1,166.176,1.3223,46.53,2,1,3,1,0.222222,0,0,1,1,2,1,
COc1ccc(CCC(=O)O)cc1,4.71,COc1ccc(CCC(=O)O)cc1,180.203,1.7124,46.53,2,1,4,1,0.3,0,0,1,1,2,1,
COc1ccc(C[C@H](N)C(=O)O)cc1,9.31,COc1ccc(C[C@H](N)C(=O)O)cc1,195.218,0.6496,72.55,3,2,4,1,0.3,0,0,1,1,2,1,
COc1ccc(N)c(C(=O)O)c1,5.57,COc1ccc(N)c(C(=O)O)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,1,2,1,
COc1ccc(NCC(=O)O)cc1,5.096,COc1ccc(NCC(=O)O)cc1,181.191,1.1917,58.56,3,2,4,1,0.222222,0,0,1,1,2,1,
COc1ccc(O)c(C(=O)O)c1,2.94,COc1ccc(O)c(C(=O)O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,1,2,1,
COc1ccc(S(=O)(=O)CC(=O)O)cc1,2.602,COc1ccc(S(=O)(=O)CC(=O)O)cc1,230.241,0.5535,80.67,4,1,4,1,0.222222,0,0,1,1,2,1,
COc1ccc(S(=O)CC(=O)O)cc1,2.754,COc1ccc(S(=O)CC(=O)O)cc1,214.242,0.8874,63.6,3,1,4,1,0.222222,0,0,1,1,2,1,
COc1ccc(SCC(=O)O)cc1,3.7,COc1ccc(SCC(=O)O)cc1,198.243,1.8719,46.53,3,1,4,1,0.222222,0,0,1,1,2,1,
COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1,16.7,COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1,234.255,1.1309,88.34,3,3,4,2,0.25,0,0,1,1,2,1,
COc1cccc(C(=O)O)c1,3.8745,COc1cccc(C(=O)O)c1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,1,2,1,
COc1cccc(C(=O)O)c1OC,3.98,COc1cccc(C(=O)O)c1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,1,2,1,
COc1cccc(NCC(=O)O)c1,4.135,COc1cccc(NCC(=O)O)c1,181.191,1.1917,58.56,3,2,4,1,0.222222,0,0,1,1,2,1,
COc1cccc(OC)c1C(=O)O,3.44,COc1cccc(OC)c1C(=O)O,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,1,2,1,
COc1cccc(S(=O)(=O)CC(=O)O)c1,2.588,COc1cccc(S(=O)(=O)CC(=O)O)c1,230.241,0.5535,80.67,4,1,4,1,0.222222,0,0,1,1,2,1,
COc1cccc(SCC(=O)O)c1,3.546,COc1cccc(SCC(=O)O)c1,198.243,1.8719,46.53,3,1,4,1,0.222222,0,0,1,1,2,1,
COc1ccccc1C(=O)O,3.9,COc1ccccc1C(=O)O,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,1,2,1,
COc1ccccc1C(O)C(=O)O,3.64,COc1ccccc1C(O)C(=O)O,182.175,0.8132,66.76,3,2,3,1,0.222222,0,0,1,1,2,1,
COc1coc(C(=O)O)cc1=O,1.53,COc1coc(C(=O)O)cc1=O,170.12,0.3466,76.74,4,1,2,1,0.142857,0,0,1,1,2,1,
CS(=O)(=O)c1ccc(OCC(=O)O)cc1,2.85,CS(=O)(=O)c1ccc(OCC(=O)O)cc1,230.241,0.5535,80.67,4,1,4,1,0.222222,0,0,1,1,2,1,
CSC(=S)N(C)CC(=O)O,2.9850000000000003,CSC(=S)N(C)CC(=O)O,179.266,0.6507,40.54,3,1,2,0,0.6,0,0,1,1,2,1,
CSC(=S)NCC(=O)O,3.19,CSC(=S)NCC(=O)O,165.239,0.3085,49.33,3,2,2,0,0.5,0,0,1,1,2,1,
CSCC(=O)O,3.655,CSCC(=O)O,106.146,0.434,37.3,2,1,2,0,0.666667,0,0,1,1,2,1,
CSCCC(NC(=O)CN)C(=O)O,8.51,CSCCC(NC(=O)CN)C(=O)O,206.267,-0.7324,92.42,4,3,6,0,0.714286,0,0,1,1,2,1,
CSCC[C@H](N)C(=O)O,9.194,CSCC[C@H](N)C(=O)O,149.215,0.1514,63.32,3,2,4,0,0.8,0,0,1,1,2,1,
CSC[C@H](N)C(=O)O,8.816666666666668,CSC[C@H](N)C(=O)O,135.188,-0.2387,63.32,3,2,3,0,0.75,0,0,1,1,2,1,
CSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,9.2,CSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,321.355,-1.7729,158.82,6,5,10,0,0.636364,0,0,2,2,4,2,
CSc1cccc(SCC(=O)O)c1,3.468,CSc1cccc(SCC(=O)O)c1,214.311,2.5852,37.3,3,1,4,1,0.222222,0,0,1,1,2,1,
C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,8.38,C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,186.211,-0.5908,83.63,3,2,2,0,0.75,0,0,1,1,2,1,
C[C@@H](O)[C@H](N)C(=O)O,9.05,C[C@@H](O)[C@H](N)C(=O)O,119.12,-1.2209,83.55,3,3,2,0,0.75,0,0,1,1,2,1,
C[C@@H]1[C@@H](C1)C(=O)O,5.02,C[C@H]1C[C@H]1C(=O)O,100.117,0.727,37.3,1,1,1,0,0.8,0,0,1,1,2,1,
C[C@H](N)C(=O)NCC(=O)NCC(=O)O,8.05,C[C@H](N)C(=O)NCC(=O)NCC(=O)O,203.198,-2.3494,121.52,4,4,5,0,0.571429,0,0,1,1,2,1,
C[C@H](N)C(=O)NCC(=O)O,8.114,C[C@H](N)C(=O)NCC(=O)O,146.146,-1.4656,92.42,3,3,3,0,0.6,0,0,1,1,2,1,
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.9625,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,302.331,-2.0677,150.62,5,5,7,0,0.666667,0,0,1,1,2,1,
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.065999999999999,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,231.252,-1.5724,121.52,4,4,5,0,0.666667,0,0,1,1,2,1,
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.286000000000001,C[C@H](N)C(=O)N[C@@H](C)C(=O)O,160.173,-1.0771,92.42,3,3,3,0,0.666667,0,0,1,1,2,1,
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.533333333333331,C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,288.348,-1.4633,147.54,5,5,9,0,0.75,0,0,1,1,2,1,
C[C@H](N)C(=O)O,9.847428571428573,C[C@H](N)C(=O)O,89.094,-0.5818,63.32,2,2,1,0,0.666667,0,0,1,1,2,1,
C[C@H](NC(=O)CN)C(=O)NCC(=O)O,8.08,C[C@H](NC(=O)CN)C(=O)NCC(=O)O,203.198,-2.3494,121.52,4,4,5,0,0.571429,0,0,1,1,2,1,
C[C@H](NC(=O)CN)C(=O)O,8.2275,C[C@H](NC(=O)CN)C(=O)O,146.146,-1.4656,92.42,3,3,3,0,0.6,0,0,1,1,2,1,
C[C@H](NC(=O)CNC(=O)CN)C(=O)O,8.02,C[C@H](NC(=O)CNC(=O)CN)C(=O)O,203.198,-2.3494,121.52,4,4,5,0,0.571429,0,0,1,1,2,1,
C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,10.7,C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,217.269,-0.968,118.44,4,4,7,0,0.777778,0,0,1,1,2,1,
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,8.135,C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,217.225,-1.9609,121.52,4,4,5,0,0.625,0,0,1,1,2,1,
C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,7.05,C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,236.271,0.3655,78.43,3,3,6,1,0.333333,0,0,1,1,2,1,
C[C@H](O)[C@H](N)C(=O)O,9.053,C[C@H](O)[C@H](N)C(=O)O,119.12,-1.2209,83.55,3,3,2,0,0.75,0,0,1,1,2,1,
C[C@H]1[C@@H](C1)C(=O)O,5.0,C[C@@H]1C[C@H]1C(=O)O,100.117,0.727,37.3,1,1,1,0,0.8,0,0,1,1,2,1,
C[N+](C)(C)CC(O)CC(=O)O.[Cl-],3.8,C[N+](C)(C)CC(O)CC(=O)O.[Cl-],197.662,-3.4678,57.53,2,2,4,0,0.857143,0,0,1,1,2,1,
C[N+](C)(C)CCCC(=O)O.[Cl-],4.02,C[N+](C)(C)CCCC(=O)O.[Cl-],181.663,-2.4386,37.3,1,1,4,0,0.857143,0,0,1,1,2,1,
C[N+](C)(C)c1ccc(CC(=O)O)cc1.[I-],3.75,C[N+](C)(C)c1ccc(CC(=O)O)cc1.[I-],321.158,-1.4856,37.3,1,1,3,1,0.363636,0,0,1,1,2,1,
C[N+](C)(C)c1ccc(CCC(=O)O)cc1.[I-],4.22,C[N+](C)(C)c1ccc(CCC(=O)O)cc1.[I-],335.185,-1.0955,37.3,1,1,4,1,0.416667,0,0,1,1,2,1,
C[N+](C)(C)c1cccc(CC(=O)O)c1.[I-],3.66,C[N+](C)(C)c1cccc(CC(=O)O)c1.[I-],321.158,-1.4856,37.3,1,1,3,1,0.363636,0,0,1,1,2,1,
C[N+](C)(C)c1cccc(CCC(=O)O)c1.[I-],4.17,C[N+](C)(C)c1cccc(CCC(=O)O)c1.[I-],335.185,-1.0955,37.3,1,1,4,1,0.416667,0,0,1,1,2,1,
C[S+](C)c1ccc(C(=O)O)cc1,3.3,C[S+](C)c1ccc(C(=O)O)cc1,183.252,1.6216,37.3,1,1,2,1,0.222222,1,0,1,1,2,1,
C[S+](C)c1cccc(C(=O)O)c1,3.2,C[S+](C)c1cccc(C(=O)O)c1,183.252,1.6216,37.3,1,1,2,1,0.222222,1,0,1,1,2,1,
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234,C[Si](C)(C)c1ccc(C(=O)O)cc1,194.306,1.93,37.3,1,1,2,1,0.3,0,0,1,1,2,1,
C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645,C[Si](C)(C)c1cccc(C(=O)O)c1,194.306,1.93,37.3,1,1,2,1,0.3,0,0,1,1,2,1,
Cc1c(C(=O)O)nnn1-c1ccccc1,3.73,Cc1c(C(=O)O)nnn1-c1ccccc1,203.201,1.27392,68.01,3,1,2,2,0.1,0,0,1,1,2,1,
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,208.11,2.24962,37.3,1,1,1,1,0.125,0,0,1,1,2,1,
Cc1cc(=O)c(C(=O)O)c(C)o1,3.36,Cc1cc(=O)c(C(=O)O)c(C)o1,168.148,0.95484,67.51,3,1,1,1,0.25,0,0,1,1,2,1,
Cc1cc(C(=O)O)c2ccccc2c1,3.72,Cc1cc(C(=O)O)c2ccccc2c1,186.21,2.84642,37.3,1,1,1,2,0.083333,0,0,1,1,2,1,
Cc1cc(C(=O)O)cc(C)c1C,4.52,Cc1cc(C(=O)O)cc(C)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1cc(C)c(C(=O)O)c(C)c1,3.498,Cc1cc(C)c(C(=O)O)c(C)c1,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1cc(C)c(C(=O)O)cc1C,4.38,Cc1cc(C)c(C(=O)O)cc1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1cc(C)c(C)c(C(=O)O)c1,4.01,Cc1cc(C)c(C)c(C(=O)O)c1,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1cc(C)c(C)c(C(=O)O)c1C,3.416,Cc1cc(C)c(C)c(C(=O)O)c1C,178.231,2.61848,37.3,1,1,1,1,0.363636,0,0,1,1,2,1,
Cc1cc(C)cc(C(=O)O)c1,4.343999999999999,Cc1cc(C)cc(C(=O)O)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1cc(C)cc(OCC(=O)O)c1,3.2,Cc1cc(C)cc(OCC(=O)O)c1,180.203,1.76684,46.53,2,1,3,1,0.3,0,0,1,1,2,1,
Cc1cc(C)n(CC(=O)O)n1,3.9,Cc1cc(C)n(CC(=O)O)n1,154.169,0.58454,55.12,2,1,2,1,0.428571,0,0,1,1,2,1,
Cc1cc(Cl)ccc1OCC(=O)O,3.107,Cc1cc(Cl)ccc1OCC(=O)O,200.621,2.11182,46.53,2,1,3,1,0.222222,0,0,1,1,2,1,
Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78,Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,211.173,1.61544,100.67,4,2,2,1,0.222222,0,0,1,1,2,1,
Cc1cc2ccccc2c(C(=O)O)c1C,2.831,Cc1cc2ccccc2c(C(=O)O)c1C,200.237,3.15484,37.3,1,1,1,2,0.153846,0,0,1,1,2,1,
Cc1ccc(C(=O)O)[nH]1,4.88,Cc1ccc(C(=O)O)[nH]1,125.127,1.02132,53.09,1,2,1,1,0.166667,0,0,1,1,2,1,
Cc1ccc(C(=O)O)[se]1,3.82,Cc1ccc(C(=O)O)[se]1,189.072,0.75022,37.3,1,1,1,1,0.166667,0,0,1,1,2,1,
Cc1ccc(C(=O)O)c(C)c1,4.2595,Cc1ccc(C(=O)O)c(C)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1ccc(C(=O)O)c(C)c1C,4.06,Cc1ccc(C(=O)O)c(C)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1ccc(C(=O)O)c(N)c1,5.07,Cc1ccc(C(=O)O)c(N)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003,Cc1ccc(C(=O)O)c(O)c1,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1ccc(C(=O)O)cc1,4.383333333333334,Cc1ccc(C(=O)O)cc1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,1,2,1,
Cc1ccc(C(=O)O)cc1C,4.5,Cc1ccc(C(=O)O)cc1C,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1ccc(C(=O)O)s1,3.73,Cc1ccc(C(=O)O)s1,142.179,1.75472,37.3,2,1,1,1,0.166667,0,0,1,1,2,1,
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,240.258,2.92422,54.37,2,1,3,2,0.066667,0,0,1,1,2,1,
Cc1ccc(C)c(C(=O)O)c1,4.0205,Cc1ccc(C)c(C(=O)O)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1ccc(C)c(C(=O)O)c1C,3.34,Cc1ccc(C)c(C(=O)O)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,1,2,1,
Cc1ccc(C)c(C(=O)O)c1O,3.23,Cc1ccc(C)c(C(=O)O)c1O,166.176,1.70724,57.53,2,2,1,1,0.222222,0,0,1,1,2,1,
Cc1ccc(C)c(C(O)C(=O)O)c1,3.57,Cc1ccc(C)c(C(O)C(=O)O)c1,180.203,1.42144,57.53,2,2,2,1,0.3,0,0,1,1,2,1,
Cc1ccc(C2CC2C(=O)O)cc1,4.6,Cc1ccc(C2CC2C(=O)O)cc1,176.215,2.18312,37.3,1,1,2,1,0.363636,0,0,1,1,2,1,
Cc1ccc(CC(=O)O)cc1,4.07025,Cc1ccc(CC(=O)O)cc1,150.177,1.62212,37.3,1,1,2,1,0.222222,0,0,1,1,2,1,
Cc1ccc(CCC(=O)O)cc1,4.74,Cc1ccc(CCC(=O)O)cc1,164.204,2.01222,37.3,1,1,3,1,0.3,0,0,1,1,2,1,
Cc1ccc(N)c(C(=O)O)c1,5.13,Cc1ccc(N)c(C(=O)O)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1ccc(NCC(=O)O)cc1,4.85,Cc1ccc(NCC(=O)O)cc1,165.192,1.49152,49.33,2,2,3,1,0.222222,0,0,1,1,2,1,
Cc1ccc(O)c(C(=O)O)c1,3.026666666666667,Cc1ccc(O)c(C(=O)O)c1,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1ccc(S(=O)(=O)CC(=O)O)cc1,2.542,Cc1ccc(S(=O)(=O)CC(=O)O)cc1,214.242,0.85332,71.44,3,1,3,1,0.222222,0,0,1,1,2,1,
Cc1ccc(S(=O)CC(=O)O)cc1,2.74,Cc1ccc(S(=O)CC(=O)O)cc1,198.243,1.18722,54.37,2,1,3,1,0.222222,0,0,1,1,2,1,
Cc1ccc(SCC(=O)O)cc1,3.689,Cc1ccc(SCC(=O)O)cc1,182.244,2.17172,37.3,2,1,3,1,0.222222,0,0,1,1,2,1,
Cc1ccc2ccccc2c1C(=O)O,3.034,Cc1ccc2ccccc2c1C(=O)O,186.21,2.84642,37.3,1,1,1,2,0.083333,0,0,1,1,2,1,
Cc1cccc(=O)c(O)c1C(=O)O,2.48,Cc1cccc(=O)c(O)c1C(=O)O,180.159,0.75902,74.6,3,2,1,1,0.111111,0,0,1,1,2,1,
Cc1cccc(C(=O)O)c1,4.272666666666667,Cc1cccc(C(=O)O)c1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,1,2,1,
Cc1cccc(C(=O)O)c1C,3.758,Cc1cccc(C(=O)O)c1C,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1cccc(C(=O)O)c1O,2.971,Cc1cccc(C(=O)O)c1O,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1cccc(C(=O)O)n1,5.83,Cc1cccc(C(=O)O)n1,137.138,1.08822,50.19,2,1,1,1,0.142857,0,0,1,1,2,1,
Cc1cccc(C)c1C(=O)O,3.307,Cc1cccc(C)c1C(=O)O,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,1,2,1,
Cc1cccc(NCC(=O)O)c1,4.6,Cc1cccc(NCC(=O)O)c1,165.192,1.49152,49.33,2,2,3,1,0.222222,0,0,1,1,2,1,
Cc1cccc(O)c(=O)c1C(=O)O,3.15,Cc1cccc(O)c(=O)c1C(=O)O,180.159,0.75902,74.6,3,2,1,1,0.111111,0,0,1,1,2,1,
Cc1cccc(O)c1C(=O)O,3.24,Cc1cccc(O)c1C(=O)O,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,1,2,1,
Cc1cccc(S(=O)(=O)CC(=O)O)c1,2.567,Cc1cccc(S(=O)(=O)CC(=O)O)c1,214.242,0.85332,71.44,3,1,3,1,0.222222,0,0,1,1,2,1,
Cc1cccc(S(=O)CC(=O)O)c1,2.756,Cc1cccc(S(=O)CC(=O)O)c1,198.243,1.18722,54.37,2,1,3,1,0.222222,0,0,1,1,2,1,
Cc1cccc(SCC(=O)O)c1,3.604,Cc1cccc(SCC(=O)O)c1,182.244,2.17172,37.3,2,1,3,1,0.222222,0,0,1,1,2,1,
Cc1cccc2[nH]cc(CC(N)C(=O)O)c12,16.9,Cc1cccc2[nH]cc(CC(N)C(=O)O)c12,218.256,1.43072,79.11,2,3,3,2,0.25,0,0,1,1,2,1,
Cc1cccc2c1[C@H](C(=O)O)[C@@]13CC(=O)[C@@](C)(CC[C@H]21)C3,4.24,Cc1cccc2c1[C@H](C(=O)O)[C@@]13CC(=O)[C@@](C)(CC[C@H]21)C3,284.355,3.40982,54.37,2,1,1,1,0.555556,0,0,1,1,2,1,
Cc1ccccc1C(=O)O,3.914,Cc1ccccc1C(=O)O,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,1,2,1,
Cc1csc(C(=O)O)c1,3.6366666666666663,Cc1csc(C(=O)O)c1,142.179,1.75472,37.3,2,1,1,1,0.166667,0,0,1,1,2,1,
Cc1csc(C(=O)O)n1,3.18,Cc1csc(C(=O)O)n1,143.167,1.14972,50.19,3,1,1,1,0.2,0,0,1,1,2,1,
Cc1nc(C)c(C(=O)O)cc1C(=O)O,2.81,Cc1nc(C)c(C(=O)O)cc1C(=O)O,195.174,1.09484,87.49,3,2,2,1,0.222222,0,0,2,2,4,2,
Cc1nc[nH]c1C(=O)O,7.01,Cc1nc[nH]c1C(=O)O,126.115,0.41632,65.98,2,2,1,1,0.2,0,0,1,1,2,1,
Cc1ncc(CO)c(C=NC(C(=O)O)C(C)OP(=O)(O)O)c1O,10.48,Cc1ncc(CO)c(C=NC(C(=O)O)C(C)OP(=O)(O)O)c1O,348.248,-0.04218,169.77,7,5,7,1,0.416667,0,0,1,1,2,1,
Cc1ncc(CO)c(C=N[C@H](C(=O)O)[C@@H](C)O)c1O,9.89,Cc1ncc(CO)c(C=N[C@H](C(=O)O)[C@@H](C)O)c1O,268.269,-0.15918,123.24,6,4,5,1,0.416667,0,0,1,1,2,1,
Cc1ncoc1C(=O)O,2.88,Cc1ncoc1C(=O)O,127.099,0.68122,63.33,3,1,1,1,0.2,0,0,1,1,2,1,
Cl/C=C/C(=O)O,3.79,O=C(O)/C=C/Cl,106.508,0.8235,37.3,1,1,1,0,0.0,0,0,1,1,2,1,
ClC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.53,O=C(O)[C@@H]1C[C@H]1c1ccc(Cl)cc1,196.633,2.5281,37.3,1,1,2,1,0.3,0,0,1,1,2,1,
ClC=1C=C(C=CC1)[C@H]1[C@@H](C1)C(=O)O,4.51,O=C(O)[C@@H]1C[C@H]1c1cccc(Cl)c1,196.633,2.5281,37.3,1,1,2,1,0.3,0,0,1,1,2,1,
Cl[C@@H]1CC[C@H](CC1)C(=O)O,4.58,O=C(O)[C@H]1CC[C@H](Cl)CC1,162.616,1.8686,37.3,1,1,1,0,0.857143,0,0,1,1,2,1,
Cl\C=C/C(=O)O,3.45,O=C(O)/C=C\Cl,106.508,0.8235,37.3,1,1,1,0,0.0,0,0,1,1,2,1,
Cn1ccnc1C(=O)O,7.25,Cn1ccnc1C(=O)O,126.115,0.1183,55.12,2,1,1,1,0.2,0,0,1,1,2,1,
Cn1cnc(C[C@H](NC(=O)CCN)C(=O)O)c1,9.49,Cn1cnc(C[C@H](NC(=O)CCN)C(=O)O)c1,240.263,-1.1192,110.24,4,3,6,1,0.5,0,0,1,1,2,1,
FC1=C(C=CC=C1)/C=C/C(=O)O,4.28,O=C(O)/C=C/c1ccccc1F,166.151,1.9235,37.3,1,1,2,1,0.0,0,0,1,1,2,1,
F[B-](F)(F)F.N#[N+]c1ccc(CC(=O)O)cc1,3.24,F[B-](F)(F)F.N#[N+]c1ccc(CC(=O)O)cc1,249.96,3.09828,65.45,2,1,2,1,0.125,0,0,1,1,2,1,
I/C=C/C(=O)O,3.74,O=C(O)/C=C/I,197.959,1.0197,37.3,1,1,1,0,0.0,0,0,1,1,2,1,
I\C=C/C(=O)O,3.42,O=C(O)/C=C\I,197.959,1.0197,37.3,1,1,1,0,0.0,0,0,1,1,2,1,
N#CC12CCC(C(=O)O)(CC1)C2,4.227,N#CC12CCC(C(=O)O)(CC1)C2,165.192,1.54508,61.09,2,1,1,0,0.777778,0,0,1,1,2,1,
N#CC12CCC(C(=O)O)(CC1)CC2,4.545,N#CC12CCC(C(=O)O)(CC1)CC2,179.219,1.93518,61.09,2,1,1,0,0.8,0,0,1,1,2,1,
N#CC1CCC(C(=O)O)CC1,4.48,N#CC1CCC(C(=O)O)CC1,153.181,1.40098,61.09,2,1,1,0,0.75,0,0,1,1,2,1,
N#CCC(=O)O,2.56025,N#CCC(=O)O,85.062,-0.01532,61.09,2,1,1,0,0.333333,0,0,1,1,2,1,
N#Cc1ccc(C(=O)O)c(O)c1,2.35,N#Cc1ccc(C(=O)O)c(O)c1,163.132,0.96208,81.32,3,2,1,1,0.0,0,0,1,1,2,1,
N#Cc1ccc(O)c(C(=O)O)c1,2.38,N#Cc1ccc(O)c(C(=O)O)c1,163.132,0.96208,81.32,3,2,1,1,0.0,0,0,1,1,2,1,
N#Cc1ccc(OCC(=O)O)cc1,2.87,N#Cc1ccc(OCC(=O)O)cc1,177.159,1.02168,70.32,3,1,3,1,0.111111,0,0,1,1,2,1,
