cas,smiles,canonical_smiles
1666-28-0,O=C(O)C1=CC=C(Br)C=C1O,O=C(O)c1ccc(Br)cc1O
573-03-5,O=C(O)C1=CC=C(F)C=2C=CC=CC12,O=C(O)c1ccc(F)c2ccccc12
1664-57-9,O=C(O)CCC=1C=CC=C(C1)N(=O)=O,O=C(O)CCc1cccc([N+](=O)[O-])c1
372-09-8,N#CCC(=O)O,N#CCC(=O)O
4593-90-2,O=C(O)CC(C=1C=CC=CC1)C,CC(CC(=O)O)c1ccccc1
30964-00-2,O=C(O)CCCCC#C,C#CCCCCC(=O)O
616-75-1,O=C(O)C(C(=O)O)CC=1C=CC=CC1,O=C(O)C(Cc1ccccc1)C(=O)O
52950-19-3,O=C(O)C(O)C=1C=CC=CC1Cl,O=C(O)C(O)c1ccccc1Cl
3775-73-3,O=C(O)CC(N)C,CC(N)CC(=O)O
22287-28-1,O=C(O)C12CC(C1)C2,O=C(O)C12CC(C1)C2
89-56-5,O=C(O)C1=CC(=CC=C1O)C,Cc1ccc(O)c(C(=O)O)c1
79-10-7,O=C(O)C=C,C=CC(=O)O
627-01-0,O=C(O)CNCC,CCNCC(=O)O
528-90-5,O=C(O)C=1C=C(C(=CC1C)C)C,Cc1cc(C)c(C(=O)O)cc1C
16841-19-3,O=C(O)C1(O)CCCC1,O=C(O)C1(O)CCCC1
926-77-2,O=C(O)C(NC(=O)CN)C,CC(NC(=O)CN)C(=O)O
883-62-5,O=C(O)C1=CC=2C=CC=CC2C=C1OC,COc1cc2ccccc2cc1C(=O)O
3813-52-3,O=C(O)C1C2C=CC(C2)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)O
637-84-3,O=C(O)CNC(=O)CNC(=O)CNC(=O)CN,NCC(=O)NCC(=O)NCC(=O)NCC(=O)O
652-18-6,O=C(O)C=1C(F)=C(F)C=C(F)C1F,O=C(O)c1c(F)c(F)cc(F)c1F
495-78-3,O=C(O)CCC=1C=CC=CC1O,O=C(O)CCc1ccccc1O
10541-83-0,O=C(O)C1=CC=C(C=C1)NC,CNc1ccc(C(=O)O)cc1
23229-72-3,O=C(O)C=1SC(=CC1)CC,CCc1ccc(C(=O)O)s1
17874-79-2,O=C(O)C1=NC=C(C=C1)C(=O)OC,COC(=O)c1ccc(C(=O)O)nc1
