cas,smiles
90331-20-7,O=S(=O)(O)C1=NC=2C=CC=CC2N1CC=3C=CC=CC3
21876-43-7,O=S(=O)([O-])CCCC[N+]=1C=CC=CC1
516-50-7,O=C(NCCS(=O)(=O)O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C
16794-12-0,O=S(=O)(O)C(C)CC
45127-11-5,O=S(=O)(O)CCSSCCS(=O)(=O)O
25241-16-1,O=S(=O)(O)C=1C=CC=C(C1C)C
7134-04-5,O=S(=O)(O)C1=CC=C(O)C(=C1)C
6697-96-7,O=S(=O)(O)C=1C(Cl)=CC=CC1Cl
25985-57-3,O=S(=O)(O)CCSC(=N)N
6387-27-5,O=S(=O)(O)C1=CC(Cl)=C(C(N)=C1)C
78824-10-9,O=S(=O)(O)C1=CC(Br)=C(N)C(Br)=C1
93-12-9,O=S(=O)(O)C1=CC=C2C(=C1)CCCC2
7724-15-4,O=S(=O)(O)C1=CC=C2C=C(C=CC2=C1)NC3=CC=C(C=C3)C
65433-95-6,O=S(=O)(O)C1=CC=C2N=CC=CC2=C1
120341-04-0,O=S(=O)(O)C1=NC=2C=CC=CC2N1N
77693-74-4,O=C(OCC=1C=CC=CC1)NCCCS(=O)(=O)O
500363-63-3,O=C1C=2C=CC=CC2C(=O)C3=C(C=C(C(N)=C13)S(=O)(=O)O)NC4=CC=CC(=C4)S(=O)(=O)N
13789-27-0,O=S(=O)(O)C1=NN=CN1
56919-17-6,O=S(=O)(O)C1=CC(Br)=CC=C1C
113507-82-7,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
82835-61-8,O=S(=O)(O)C1=CC=C(C=C1)CBr
918825-10-2,O=C(OC(C)(C)C)NCCCS(=O)(=O)O
98-35-1,O=S(=O)(O)C1=CC=C(N)C(Cl)=C1
92-41-1,O=S(=O)(O)C1=CC=C2C=CC(=CC2=C1)S(=O)(=O)O
26405-77-6,O=S(=O)(O)C(C1=CC=C(O)C(O)=C1)CNC
771468-53-2,O=S(=O)(O)CCC1=CC=C(F)C=C1
616-84-2,O=N(=O)C1=CC(=CC=C1N)S(=O)(=O)O
80279-71-6,O=S(=O)(O)C1=CC=C2C(=C1)NCC2
525-37-1,O=S(=O)(O)C1=CC=C2C(C=CC=C2S(=O)(=O)O)=C1
20096-53-1,O=S(=O)(O)C1=CC=C2C=C(C=CC2=C1)NC=3C=CC=CC3
130-17-6,O=S(=O)(O)C=1C=2SC(=NC2C=CC1C)C3=CC=C(N)C=C3
6535-70-2,O=S(=O)(O)C1=CC(O)=C2C=CC(N)=C(C2=C1)S(=O)(=O)O
18023-22-8,O=S(=O)(O)C=1C=C(C=C(C1)C)C
25241-15-0,O=S(=O)(O)C=1C(=CC=CC1C)C
10296-76-1,O=S(=O)(O)CC(O)CO
82436-78-0,O=C1N(O)C(=O)C(C1)S(=O)(=O)O
83982-06-3,O=C(NCCS(=O)(=O)O)CCCCCCCCCCCCCCC
93805-05-1,O=S(=O)(O)C=1C=CC=2N=C(C=CC2C1)C
18336-38-4,O=S(=O)(O)C1=CC=C(C=C1)N2N=CC=C2
13197-76-7,O=S(=O)([O-])CC(O)C[N+](C)(C)CCCCCCCCCCCC
147540-88-3,O=S(=O)([O-])C1=CC(=CC=[N+]1F)C
73692-57-6,O=S(=O)(O)C=1C=C2C(N)=C(N)C=CC2=C(C1)S(=O)(=O)O
52562-29-5,O=C(NCCC[N+](C)(C)CCCS(=O)(=O)[O-])CCCCCCCCCCCCCCC
637-95-6,O=S(=O)(O)CCN(C)C
3453-83-6,O=S(=O)(O)C=1C(=CC(=CC1C)C)C
33469-47-5,O=S(=O)(O)C=1C=C(Cl)C=C(Cl)C1
201207-66-1,O=S(=O)(O)C=1C(=NN(C1C)C)C
26585-57-9,O=S(=O)(O)C=1C=C(C(=CC1N)S(=O)(=O)O)C
1353503-21-5,O=S(=O)(O)C=1C=NN(C=2C=CC=CC2)C1C
17012-98-5,O=S(=O)(O)C1=CC=C(C=C1)CCCCCCCC
133804-44-1,O=S(=O)(O)C1=CC(=CC=C1N2CCNCC2)C
578-85-8,O=S(=O)(O)C=1C=CC2=C(O)C=C(C=C2C1)S(=O)(=O)O
6837-93-0,O=S(=O)(O)C=1C=C(OS(=O)(=O)C2=CC=C(C=C2)C)C3=C(N)C=C(C=C3C1)S(=O)(=O)O
1314713-40-0,O=C(OCC[N+](C)(CCOC(=O)C(=C)C)CCCS(=O)(=O)[O-])C(=C)C
51498-38-5,O=S(=O)(O)C=1C=NC=CC1Cl
1092934-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1C=3C=4C=CC=CC4C=CC3S(=O)(=O)O
40828-56-6,O=S(=O)(O)C1=NC=2C=C(Cl)C=CC2N1
94411-91-3,O=S(=O)(O)C1=CC=C2C(=C1)NCCC2
5136-34-5,O=S(=O)(O)C1=CC(N)=CC=C1CCC2=CC=C(N)C=C2S(=O)(=O)O
174703-04-9,O=S(=O)([O-])C=1C=CC2=C(C1)C(C(=[N+]2C)C)(C)C
