SMILES,pka_value
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.81
CCN[C@@H](C)C(=O)O,10.22
C[C@H](NC(=O)CN)C(=O)O,8.23
C[C@H](NC(=O)CN)C(=O)O,8.19
C[C@H](NC(=O)CN)C(=O)O,8.21
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,8.1
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,8.17
C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,10.7
CN[C@@H](C)C(=O)O,10.19
CCCN[C@@H](C)C(=O)O,10.19
C[C@H](O)[C@H](N)C(=O)O,9.096
C[C@H](O)[C@H](N)C(=O)O,9.01
CO[C@@H](C)[C@H](N)C(=O)O,8.9
Nc1ccccc1C(=O)O,4.946
Nc1ccccc1C(=O)O,4.95
CN(C)c1ccccc1C(=O)O,8.49
CNc1ccccc1C(=O)O,5.34
Nc1cccc(C(=O)O)c1,4.72
Nc1cccc(C(=O)O)c1,4.77
Nc1cccc(C(=O)O)c1,4.73
Nc1cccc(C(=O)O)c1,4.744
CN(C)c1cccc(C(=O)O)c1,5.1
CNc1cccc(C(=O)O)c1,5.1
Nc1ccc(C(=O)O)cc1,4.874
Nc1ccc(C(=O)O)cc1,4.85
Nc1ccc(C(=O)O)cc1,4.853
Nc1ccc(C(=O)O)cc1,4.89
CN(C)c1ccc(C(=O)O)cc1,5.03
CNc1ccc(C(=O)O)cc1,5.04
CCC(N)C(=O)O,9.83
CCC(N)C(=O)O,9.6
CCC(N)C(=O)O,9.68
NC(CC(F)(F)F)C(=O)O,8.171
NC(CC(=O)O)C(F)(F)F,5.831
NCCCC(=O)O,10.5557
NCCCCCC(=O)O,10.804
CC(C)(N)C(=O)O,10.205
Nc1cc(C(=O)O)c2ccccc2c1,4.39
Nc1cc(C(=O)O)cc2ccccc12,4.46
CC(N)CCC(=O)O,10.46
NCCCCC(=O)O,10.766
NCCCCC(=O)O,10.75
NCCCCC(=O)O,10.4
NCCC(=O)O,10.238
NCCC(=O)O,10.25
NC(C(=O)O)C(CC(=O)O)C(=O)O,3.6
NC(N)=NCCC[C@H](N)C(=O)O,12.48
N=C(N)NCCC[C@@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,9.8
N=C(N)NCCC[C@@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,9.36
NC(=O)C[C@H](N)C(=O)O,8.84
NC(=O)C[C@H](N)C(=O)O,8.71
NC(=O)C[C@@](N)(O)C(=O)O,7.2
NC(=O)C(O)[C@H](N)C(=O)O,8.29
N[C@@H](CC(=O)O)C(=O)O,3.9
N[C@@H](CC(=O)O)C(=O)O,3.895
N[C@@H](CC(=O)O)C(=O)O,3.8
N[C@@H](CC(=O)O)C(=O)O,3.9
N[C@@H](CC(=O)O)C(=O)O,3.82
O=C(O)C[C@H](NO)C(=O)O,3.51
NOCC[C@H](N)C(=O)O,9.2
NC(N)=NOCC[C@H](N)C(=O)O,9.25
NC(=O)NCCC[C@H](N)C(=O)O,9.41
N[C@@H](CS(=O)(=O)O)C(=O)O,1.89
N[C@@H](CS)C(=O)O,8.48
N[C@@H](CS)C(=O)O,8.27
N[C@@H](CS)C(=O)O,8.36
N[C@@H](CS)C(=O)O,8.33
CSC[C@H](N)C(=O)O,8.75
NCC(N)C(=O)O,9.6
CN(C)CCC(=O)O,9.85
N[C@@H](CCC(=O)O)C(=O)O,4.31
N[C@@H](CCC(=O)O)C(=O)O,4.07
N[C@@H](CCC(=O)O)C(=O)O,4.51
N[C@@H](CCC(=O)O)C(=O)O,4.06
N[C@H](C(=O)O)C(O)CC(=O)O,4.29
N[C@@H](CCC(=O)OCc1ccccc1)C(=O)O,9
CCOC(=O)[C@@H](N)CCC(=O)O,7.838
CCOC(=O)CC[C@H](N)C(=O)O,9.19
NC(=O)CC[C@H](N)C(=O)O,9.13
CSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,9.2
NCC(=O)O,9.7775
NCC(=O)O,9.7796
NCC(=O)O,9.778
NCC(=O)O,9.66
NCC(=O)O,10.28
NCC(=O)O,9.65
NCC(=O)O,9.76
NCC(=O)O,9.75
NCC(=O)O,9.78
NCC(=O)O,9.62
NCC(=O)O,9.745
NCC(=O)O,9.62
NCC(=O)O,9.69
C[C@H](N)C(=O)NCC(=O)O,8.18
C[C@H](N)C(=O)NCC(=O)O,8.21
C[C@H](N)C(=O)NCC(=O)O,7.78
C[C@H](N)C(=O)NCC(=O)O,8.25
CCCCNCC(=O)O,10.25
CCCCNCC(=O)O,10.07
CCN(CC)CC(=O)O,10.47
CN(C)CC(=O)O,9.94
CN(C)CC(=O)O,9.868
CN(C)CC(=O)O,9.8
CN(C)CC(=O)O,9.8
CN(C)CC(=O)NCC(=O)O,8.09
CCNCC(=O)O,10.23
CCNCC(=O)O,10.1
NC(=O)CC[C@H](N)C(=O)NCC(=O)O,7.52
