cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
100-09-4,O=C(O)C1=CC=C(OC)C=C1,COc1ccc(C(=O)O)cc1,4.2783750000000005,COc1ccc(C(=O)O)cc1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,,150.52139206666666,0.52774,-0.7086,-0.04536000000000007,3.30176698299562,-8.0107596448695,-0.306400195663,7.704359449206501
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1,O=C(O)c1cc(O)cc(O)c1,4.039,O=C(O)c1cc(O)cc(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,137.31474103333332,0.53046,-0.70139,-0.015039999999999831,2.8388656061885,-7.8986487384635,-0.5515747749635,7.3470739635
98-98-6,O=C(O)C1=NC=CC=C1,O=C(O)c1ccccn1,5.4,O=C(O)c1ccccn1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,113.26828023333333,0.53188,-0.70029,-0.016369999999999996,6.377203043654797,-9.1198956995075,-0.7491294304264999,8.370766269081
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21,O=C(O)Cc1cccc2ccccc12,4.23,O=C(O)Cc1cccc2ccccc12,186.21,2.4669,37.3,1,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,,216.37776166666666,0.52836,-0.70449,-0.007349999999999857,2.561056820923737,-7.4594569837565,-0.2506168563105,7.208840127446
6089-09-4,O=C(O)CCC#C,C#CCCC(=O)O,4.2,C#CCCC(=O)O,98.101,0.4844,37.3,1,1,2,0,0.4,0,0,1,0,1,0,2,1,0,,82.15960986666666,0.52823,-0.70973,-0.018510000000000026,2.978393879257745,-9.316634013419,0.7964772404135,10.1131112538325
24065-33-6,O=C(O)C=1SC(Cl)=CC1,O=C(O)c1ccc(Cl)s1,3.3150000000000004,O=C(O)c1ccc(Cl)s1,162.597,2.0997,37.3,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,129.20312466666667,0.53414,-0.7042,-0.03424000000000005,0.8751234770019599,-8.4107670051045,-0.8851863556765001,7.525580649428
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1O,4.34,COc1cc(C(=O)O)cc(OC)c1O,198.174,1.1076,75.99,4,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,,180.85008733333333,0.52874,-0.70736,-0.037800000000000056,0.7898850169486695,-7.628983912618,-0.359734510361,7.269249402257
619-66-9,O=CC1=CC=C(C=C1)C(=O)O,O=Cc1ccc(C(=O)O)cc1,3.76,O=Cc1ccc(C(=O)O)cc1,150.133,1.1973,54.37,2,1,2,1,0.0,0,0,1,0,1,0,2,1,0,,148.47409596666665,0.53174,-0.69855,-0.006669999999999954,2.10993301789417,-9.0028867437925,-1.447101456959,7.555785286833499
150-25-4,O=C(O)CN(CCO)CCO,O=C(O)CN(CCO)CCO,8.237566666666666,O=C(O)CN(CCO)CCO,163.173,-1.6424,81.0,4,3,6,0,0.833333,0,0,1,0,1,0,2,1,0,,128.23927166666667,0.52724,-0.71263,-0.019789999999999863,2.698989657260657,-7.704087335355999,0.926819774803,8.630907110158999
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1,COc1ccc(C(=O)O)cc1OC,4.395,COc1ccc(C(=O)O)cc1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,174.993258,0.52771,-0.70792,-0.04266000000000003,3.490459572892945,-7.621092610953499,-0.3251760513475,7.295916559605999
