cas,smiles,input_canonical_smiles,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
13921-90-9,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1,NC(CC(=O)O)c1ccccc1,165.192,1.1611,63.32,2,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,
7164-43-4,O=C(O)C=1NC(=O)NC(=O)C1N,Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O,Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O,171.112,-1.6564,129.04,4,4,1,1,0.0,0,0,1,0,1,0,2,1,0,
1798-82-9,O=C(O)C1=CC=C(C=C1)C2CC2,O=C(O)c1ccc(C2CC2)cc1,O=C(O)c1ccc(C2CC2)cc1,162.188,2.2622,37.3,1,1,2,1,0.3,0,0,1,0,1,0,2,1,0,
6924-66-9,O=C(O)C=1C=CC=C2N=CC=NC21,O=C(O)c1cccc2nccnc12,O=C(O)c1cccc2nccnc12,174.159,1.328,63.08,3,1,1,2,0.0,0,0,1,0,1,0,2,1,0,
1013-04-3,O=C(O)C1=CC=C(Cl)C=2C=CC=CC12,O=C(O)c1ccc(Cl)c2ccccc12,O=C(O)c1ccc(Cl)c2ccccc12,206.628,3.1914,37.3,1,1,1,2,0.0,0,0,1,0,1,0,2,1,0,
471-25-0,O=C(O)C#C,C#CC(=O)O,C#CC(=O)O,70.047,-0.2958,37.3,1,1,0,0,0.0,0,0,1,0,1,0,2,1,0,
22426-30-8,N#CC(C(=O)O)(C)C,CC(C)(C#N)C(=O)O,CC(C)(C#N)C(=O)O,113.116,0.62078,61.09,2,1,1,0,0.6,0,0,1,0,1,0,2,1,0,
3739-30-8,O=C(O)C(O)(C)CC,CCC(C)(O)C(=O)O,CCC(C)(O)C(=O)O,118.132,0.232,57.53,2,2,2,0,0.8,0,0,1,0,1,0,2,1,0,
14542-16-6,O=C(O)C1=NC(=CS1)C,Cc1csc(C(=O)O)n1,Cc1csc(C(=O)O)n1,143.167,1.14972,50.19,3,1,1,1,0.2,0,0,1,0,1,0,2,1,0,
1457-59-6,O=C(O)C=1NC=NC1C,Cc1nc[nH]c1C(=O)O,Cc1nc[nH]c1C(=O)O,126.115,0.41632,65.98,2,2,1,1,0.2,0,0,1,0,1,0,2,1,0,
652-32-4,O=C(O)C1=C(F)C(F)=C(C(F)=C1F)C,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,208.11,2.24962,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
3235-67-4,O=C(O)CN1CCCCC1,O=C(O)CN1CCCCC1,O=C(O)CN1CCCCC1,143.186,0.5569,40.54,2,1,2,0,0.857143,0,0,1,0,1,0,2,1,0,
3959-23-7,O=C(O)CS(=O)(=O)C=1C=CC=CC1,O=C(O)CS(=O)(=O)c1ccccc1,O=C(O)CS(=O)(=O)c1ccccc1,200.215,0.5449,71.44,3,1,3,1,0.125,0,0,1,0,1,0,2,1,0,
4165-96-2,O=C(O)CC(C=1C=CC=CC1)CC(=O)O,O=C(O)CC(CC(=O)O)c1ccccc1,O=C(O)CC(CC(=O)O)c1ccccc1,208.213,1.7196,74.6,2,2,5,1,0.272727,0,0,2,0,2,0,4,2,0,
3775-72-2,O=C(O)CC(N)C,CC(N)CC(=O)O,CC(N)CC(=O)O,103.121,-0.1917,63.32,2,2,2,0,0.75,0,0,1,0,1,0,2,1,0,
80-69-3,O=C(O)C(O)C(=O)O,O=C(O)C(O)C(=O)O,O=C(O)C(O)C(=O)O,120.06,-1.4835,94.83,3,3,2,0,0.333333,0,0,2,0,2,0,4,2,0,
13073-35-3,O=C(O)C(N)CCSCC,CCSCCC(N)C(=O)O,CCSCCC(N)C(=O)O,163.242,0.5415,63.32,3,2,5,0,0.833333,0,0,1,0,1,0,2,1,0,
56961-31-0,O=C(O)C=1C(Cl)=CC=CC1O,O=C(O)c1c(O)cccc1Cl,O=C(O)c1c(O)cccc1Cl,172.567,1.7438,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
24195-03-7,O=C(O)C1=NC=CC(=C1)C(=O)OC,COC(=O)c1ccnc(C(=O)O)c1,COC(=O)c1ccnc(C(=O)O)c1,181.147,0.5664,76.49,4,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
76-04-0,O=C(O)C(F)(F)Cl,O=C(O)C(F)(F)Cl,O=C(O)C(F)(F)Cl,130.477,0.9026,37.3,1,1,1,0,0.5,0,0,1,0,1,0,2,1,0,
14282-78-1,O=C(O)C=1SC=C(C1)C,Cc1csc(C(=O)O)c1,Cc1csc(C(=O)O)c1,142.179,1.75472,37.3,2,1,1,1,0.166667,0,0,1,0,1,0,2,1,0,
1878-81-5,O=C(O)COC1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(OCC(=O)O)cc1,CC(=O)c1ccc(OCC(=O)O)cc1,194.186,1.3526,63.6,3,1,4,1,0.2,0,0,1,0,1,0,2,1,0,
15448-77-8,O=C(O)C12CCC(C(=O)OC)(CC1)C2,COC(=O)C12CCC(C(=O)O)(CC1)C2,COC(=O)C12CCC(C(=O)O)(CC1)C2,198.218,1.1945,63.6,3,1,2,0,0.8,0,0,1,0,1,0,2,1,0,
7498-54-6,O=C(O)C1=CC=CC(=C1)C(C)(C)C,CC(C)(C)c1cccc(C(=O)O)c1,CC(C)(C)c1cccc(C(=O)O)c1,178.231,2.6823,37.3,1,1,1,1,0.363636,0,0,1,0,1,0,2,1,0,
15785-54-3,O=C(O)C1=CC(OC)=C(O)C(=C1)N(=O)=O,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,213.145,1.0072,109.9,5,2,3,1,0.125,0,0,1,0,1,0,2,1,0,
1878-88-2,O=C(O)COC1=CC=CC(=C1)N(=O)=O,O=C(O)COc1cccc([N+](=O)[O-])c1,O=C(O)COc1cccc([N+](=O)[O-])c1,197.146,1.0582,89.67,4,1,4,1,0.125,0,0,1,0,1,0,2,1,0,
121-57-3,O=S(=O)(O)C1=CC=C(N)C=C1,Nc1ccc(S(=O)(=O)O)cc1,Nc1ccc(S(=O)(=O)O)cc1,173.193,0.5155,80.39,3,2,1,1,0.0,0,1,1,0,3,0,1,1,0,
104-15-4,O=S(=O)(O)C1=CC=C(C=C1)C,Cc1ccc(S(=O)(=O)O)cc1,Cc1ccc(S(=O)(=O)O)cc1,172.205,1.24172,54.37,2,1,1,1,0.142857,0,1,1,0,3,0,1,1,0,
93-00-5,O=S(=O)(O)C1=CC=C2C=C(N)C=CC2=C1,Nc1ccc2cc(S(=O)(=O)O)ccc2c1,Nc1ccc2cc(S(=O)(=O)O)ccc2c1,223.253,1.6687,80.39,3,2,1,2,0.0,0,1,1,0,3,0,1,1,0,
145-48-2,O=C1C=2C=CC=CC2C(=O)C3=C(O)C(=CC(O)=C13)S(=O)(=O)O,O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21,O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21,320.278,1.1199,128.97,6,3,1,2,0.0,0,1,1,0,3,0,1,1,0,
87655-41-2,O=S(=O)(O)C1=CC=C(N=C1C)C,Cc1ccc(S(=O)(=O)O)c(C)n1,Cc1ccc(S(=O)(=O)O)c(C)n1,187.22,0.94514,67.26,3,1,1,1,0.285714,0,1,1,0,3,0,1,1,0,
