cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl,O=C(O)c1ccc(Cl)cc1Cl,2.73,O=C(O)c1ccc(Cl)cc1Cl,191.013,2.6916,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,153.7651928,0.53133,-0.69827,0.01634,4.006774509502625,-8.7084595575515,-0.631848360861,8.0766111966905
581-96-4,O=C(O)CC=1C=CC=2C=CC=CC2C1,O=C(O)Cc1ccc2ccccc2c1,4.3,O=C(O)Cc1ccc2ccccc2c1,186.21,2.4669,37.3,1,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,,217.2361646666667,0.52719,-0.70866,-0.0075099999999999,2.5495047519077114,-7.465987716168501,-0.1863979875925,7.279589728576001
111-16-0,O=C(O)CCCCCC(=O)O,O=C(O)CCCCCC(=O)O,4.484999999999999,O=C(O)CCCCCC(=O)O,160.169,1.1061,74.6,2,2,6,0,0.714286,0,0,2,0,2,0,4,2,0,,128.18390133333335,0.52567,-0.71569,-0.031005,5.424100031341605,-9.6962328348665,0.8974314789490001,10.5936643138155
771-50-6,O=C(O)C1=CNC=2C=CC=CC21,O=C(O)c1c[nH]c2ccccc12,3.87,O=C(O)c1c[nH]c2ccccc12,161.16,1.8661,53.09,1,2,1,2,0.0,0,0,1,0,1,0,2,1,0,,172.9135008333333,0.52451,-0.71782,-0.0802099999999998,6.843967716171665,-7.563676588498,-0.033742117462,7.529934471035999
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1,O=C(O)c1cnc2ccccc2n1,2.811666666666666,O=C(O)c1cnc2ccccc2n1,174.159,1.328,63.08,3,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,188.4700159,0.53273,-0.68611,0.00189,3.78983768253998,-8.471448393766,-1.5589402495145,6.9125081442515
594-61-6,O=C(O)C(O)(C)C,CC(C)(O)C(=O)O,3.784,CC(C)(O)C(=O)O,104.105,-0.1581,57.53,2,2,1,0,0.75,0,0,1,0,1,0,2,1,0,,79.9087568,0.52974,-0.70406,-0.01817,3.7469367835606726,-9.691062671707,0.9309014825605,10.6219641542675
118-91-2,O=C(O)C=1C=CC=CC1Cl,O=C(O)c1ccccc1Cl,3.063333333333333,O=C(O)c1ccccc1Cl,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,137.50951813333333,0.53055,-0.68891,0.01549,3.12037943365867,-8.595532309594,-0.392388172421,8.203144137173
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1,COc1cc(CC(=O)O)ccc1O,4.41,COc1cc(CC(=O)O)ccc1O,182.175,1.0279,66.76,3,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,,167.003448,0.52769,-0.70731,-0.01012,2.1148087975039256,-7.4170072230785,0.775524473925,8.1925316970035
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O,3.20875,O=C(O)c1ccc(O)cc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,141.51117933333333,0.53105,-0.69648,-0.0423999999999999,1.8131871718054924,-8.008310620215001,-0.331434669909,7.676875950306001
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1,O=C(O)c1ccc2ncccc2c1,4.82,O=C(O)c1ccc2ncccc2c1,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,194.9498118,0.53014,-0.70361,-0.02066,5.716004164624095,-8.190082672349002,-0.9847800249595,7.205302647389502
617-62-9,O=C(O)CCC(C(=O)O)C,CC(CCC(=O)O)C(=O)O,4.36,CC(CCC(=O)O)C(=O)O,146.142,0.5719,74.6,2,2,4,0,0.666667,0,0,2,0,2,0,4,2,0,,112.524899,0.52645,-0.71361,-0.016045,0.2766009942136868,-9.630109169195,0.880016192517,10.510125361712
636-61-3,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725,O=C(O)CC(O)C(=O)O,134.087,-1.0934,94.83,3,3,3,0,0.5,0,0,2,0,2,0,4,2,0,,84.83032436666666,0.53282,-0.70419,-0.0074549999999999,2.2143739544169136,-9.514732896583,0.6555222658545,10.1702551624375
110-94-1,O=C(O)CCCC(=O)O,O=C(O)CCCC(=O)O,4.25,O=C(O)CCCC(=O)O,132.115,0.3259,74.6,2,2,4,0,0.6,0,0,2,0,2,0,4,2,0,,95.3499241,0.52622,-0.71477,-0.022805,5.160912894052757,-9.7680708913985,0.8783835094140001,10.6464544008125
98-89-5,O=C(O)C1CCCCC1,O=C(O)C1CCCCC1,4.895,O=C(O)C1CCCCC1,128.171,1.6513,37.3,1,1,1,0,0.857143,0,0,1,0,1,0,2,1,0,,119.04065933333334,0.52363,-0.70794,-0.0190799999999999,2.6143427567937607,-9.5239847675,0.956208070657,10.480192838157
88-14-2,O=C(O)C=1OC=CC1,O=C(O)c1ccco1,3.153,O=C(O)c1ccco1,112.084,0.9778,50.44,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,93.3026399,0.53131,-0.69723,-0.0563300000000001,3.152959871295542,-8.434440910098001,-0.4364706162019999,7.997970293896001
