Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
COc1ccc(N)c(C(=O)O)c1,5.57,4.23,COc1ccc(N)c(C(=O)O)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1ccc(O)c(C(=O)O)c1,2.94,3.12,COc1ccc(O)c(C(=O)O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1cccc(C(=O)O)c1,3.8745,4.42,COc1cccc(C(=O)O)c1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1cccc(C(=O)O)c1OC,3.98,3.88,COc1cccc(C(=O)O)c1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1cccc(OC)c1C(=O)O,3.44,3.94,COc1cccc(OC)c1C(=O)O,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1ccccc1C(=O)O,3.9,4.29,COc1ccccc1C(=O)O,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
C[S+](C)c1ccc(C(=O)O)cc1,3.3,3.82,C[S+](C)c1ccc(C(=O)O)cc1,183.252,1.6216,37.3,1,1,2,1,0.222222,1,0,1,0,1,0,2,1,0,
C[S+](C)c1cccc(C(=O)O)c1,3.2,3.52,C[S+](C)c1cccc(C(=O)O)c1,183.252,1.6216,37.3,1,1,2,1,0.222222,1,0,1,0,1,0,2,1,0,
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234,4.11,C[Si](C)(C)c1ccc(C(=O)O)cc1,194.306,1.93,37.3,1,1,2,1,0.3,0,0,1,0,1,0,2,1,0,
C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645,4.02,C[Si](C)(C)c1cccc(C(=O)O)c1,194.306,1.93,37.3,1,1,2,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0,1.83,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,208.11,2.24962,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
