SMILES,pka_value
Cn1ccnc1C(=O)O,7.25
Cn1cnc(C[C@H](NC(=O)CCN)C(=O)O)c1,9.49
FC1=C(C=CC=C1)/C=C/C(=O)O,4.28
F[B-](F)(F)F.N#[N+]c1ccc(CC(=O)O)cc1,3.24
I/C=C/C(=O)O,3.74
I\C=C/C(=O)O,3.42
N#CC12CCC(C(=O)O)(CC1)C2,4.227
N#CC12CCC(C(=O)O)(CC1)CC2,4.545
N#CC1CCC(C(=O)O)CC1,4.48
N#CCC(=O)O,2.56025
N#Cc1ccc(C(=O)O)c(O)c1,2.35
N#Cc1ccc(O)c(C(=O)O)c1,2.38
N#Cc1ccc(OCC(=O)O)cc1,2.87
N#Cc1cccc(NCC(=O)O)c1,3.78
N=C(N)NCCC[C@@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,9.58
NC(=O)C(N)CCC(=O)O,7.88
NC(=O)C(O)[C@H](N)C(=O)O,8.29
NC(=O)CC[C@H](N)C(=O)NCC(=O)O,7.52
NC(=O)CC[C@H](N)C(=O)O,9.07
NC(=O)C[C@@](N)(O)C(=O)O,7.2
NC(=O)C[C@H](N)C(=O)O,8.756666666666668
NC(=O)NCCCC(NC(=O)c1ccccc1)C(=O)O,3.5575
NC(=O)NCCC[C@H](N)C(=O)O,9.41
NC(C(=O)O)C(CC(=O)O)C(=O)O,3.6
NC(CC(=O)O)C(F)(F)F,5.831
NC(CC(=O)O)c1ccccc1,9.31
NC(CC(F)(F)F)C(=O)O,8.171
NC(Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,8.47
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,17.95
NC(Cc1c[nH]cn1)C(=O)O,9.16
NC(N)=NCCC[C@H](N)C(=O)O,12.48
NC(N)=NOCC[C@H](N)C(=O)O,9.25
NC1=NC(C(=O)O)CS1,8.48
NCC(=O)N1CCC[C@H]1C(=O)O,8.5925
NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,8.11
NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,7.95
NCC(=O)NCC(=O)NCC(=O)O,8.11
NCC(=O)NCC(=O)O,8.231928571428572
NCC(=O)N[C@@H](CO)C(=O)NCC(=O)O,7.99
NCC(=O)N[C@@H](CO)C(=O)O,8.24
NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,8.06
NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,8.24
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,8.24
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,8.245000000000001
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.65
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,8.2
NCC(=O)O,9.746006666666666
NCC(N)C(=O)O,9.555
NCC(O)C(=O)O,9.33
NCCC(=O)O,10.255199999999999
