Smiles,pKa,predicted_pKa
N[C@@H](CCC(=O)OCc1ccccc1)C(=O)O,9.0,2.43
N[C@@H](Cc1c[nH]c(S)n1)C(=O)O,8.47,1.63
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,9.3825,2.52
N[C@@H](Cc1c[nH]nn1)C(=O)O,8.55,2.52
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,6.45,2.43
N[C@@H](Cc1cc(Cl)c(O)c(Cl)c1)C(=O)O,6.47,2.44
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,6.48,2.44
N[C@@H](Cc1cc[nH]n1)C(=O)O,8.95,2.54
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,8.72,2.4
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,7.68,3.13
N[C@@H](Cc1ccc(O)cc1)C(=O)O,9.59,2.37
N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,7.68,3.11
N[C@@H](Cc1ccccc1)C(=O)O,9.1425,2.37
N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,9.3,2.57
N[C@@H](Cc1cnc(I)[nH]1)C(=O)O,8.62,1.91
N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)O,5.96,3.11
N[C@@H](Cc1cnc[nH]1)C(=O)O,9.281428571428572,2.59
N[C@@H](Cc1nc(I)[nH]c1I)C(=O)O,8.18,1.56
Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O,2.63,1.82
Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,4.48,1.78
Nc1cc(Br)ccc1C(=O)O,4.37,3.94
Nc1cc(C(=O)O)c2ccccc2c1,4.39,4.22
Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3.55,4.01
Nc1cc(C(=O)O)cc2ccccc12,4.46,4.38
Nc1cc(Cl)ccc1C(=O)O,4.44,3.94
Nc1cc(F)ccc1C(=O)O,4.6,4.1
Nc1cc([N+](=O)[O-])ccc1C(=O)O,3.7,4.0
Nc1ccc(Br)cc1C(=O)O,4.41,3.76
Nc1ccc(C(=O)O)c(O)c1,3.356666666666667,3.78
Nc1ccc(C(=O)O)cc1,4.832833333333333,4.61
Nc1ccc(Cl)cc1C(=O)O,4.35,3.76
