cas,smiles,canonical_smiles,pka_value
16650-55-8,O=C(O)C1=CC=C(Br)C=2C=CC=CC12,O=C(O)c1ccc(Br)c2ccccc12,3.37
381-73-7,O=C(O)C(F)F,O=C(O)C(F)F,1.235
20485-43-2,O=C(O)C1=NC=CN1C,Cn1ccnc1C(=O)O,7.25
6940-50-7,O=C(O)C(O)C1=CC=C(Br)C=C1,O=C(O)C(O)c1ccc(Br)cc1,3.15
2510-32-9,O=C(O)C=1OC=NC1C,Cc1ncoc1C(=O)O,2.88
99-04-7,O=C(O)C1=CC=CC(=C1)C,Cc1cccc(C(=O)O)c1,4.272666666666667
50-79-3,O=C(O)C1=CC(Cl)=CC=C1Cl,O=C(O)c1cc(Cl)ccc1Cl,2.466
40856-44-8,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1,9.31
3128-06-1,O=C(O)CCCC(=O)C,CC(=O)CCCC(=O)O,4.8
107-96-0,O=C(O)CCS,O=C(O)CCS,4.38
2345-51-9,O=C(O)CC#C,C#CCC(=O)O,3.32
1505-50-6,O=C(O)CCC1=CC=C(C=C1)C,Cc1ccc(CCC(=O)O)cc1,4.74
10128-71-9,O=C(O)C=1C=CN=CC1O,O=C(O)c1ccncc1O,4.83
7170-38-9,O=C(O)CCOC=1C=CC=CC1,O=C(O)CCOc1ccccc1,4.32
618-84-8,O=C(O)C1=CC(N)=CC(=C1)N(=O)=O,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3.55
85-52-9,O=C(O)C=1C=CC=CC1C(=O)C=2C=CC=CC2,O=C(O)c1ccccc1C(=O)c1ccccc1,3.536
79-31-2,O=C(O)C(C)C,CC(C)C(=O)O,4.619
79-11-8,O=C(O)CCl,O=C(O)CCl,2.934
586-42-5,O=C(O)C1=CC=CC(=C1)C(=O)C,CC(=O)c1cccc(C(=O)O)c1,3.827
7170-36-7,O=C(O)C=1N=C(C=CC1)C(=O)OC,COC(=O)c1cccc(C(=O)O)n1,2.65
3937-96-0,O=C(O)CS(=O)(=O)C1=CC=C(C=C1)C,Cc1ccc(S(=O)(=O)CC(=O)O)cc1,2.542
103-04-8,O=C(O)CSC=1C=CC=CC1,O=C(O)CSc1ccccc1,3.4690000000000003
94-74-6,O=C(O)COC1=CC=C(Cl)C=C1C,Cc1cc(Cl)ccc1OCC(=O)O,3.107
3147-55-5,O=C(O)C=1C=C(Br)C=C(Br)C1O,O=C(O)c1cc(Br)cc(Br)c1O,2.162
