cas,smiles
4376-18-5,O=C(O)C=1C=CC=CC1C(=O)OC
102-32-9,O=C(O)CC1=CC=C(O)C(O)=C1
771-50-6,O=C(O)C1=CNC=2C=CC=CC21
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1
67-43-6,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O
4498-67-3,O=C(O)C1=NNC=2C=CC=CC12
99199-60-7,O=C(O)C1OC2=CC=C(F)C=C2CC1
38194-50-2,O=C(O)CC=1C=2C=C(F)C=CC2C(=CC3=CC=C(C=C3)S(=O)C)C1C
594-61-6,O=C(O)C(O)(C)C
1492-24-6,O=C(O)C(N)CC
112-37-8,O=C(O)CCCCCCCCCC
344-25-2,O=C(O)C1NCCC1
14292-26-3,O=C(O)CC(O)CCCCCCC
118-91-2,O=C(O)C=1C=CC=CC1Cl
112811-65-1,O=C(O)C1=CC(F)=C(F)C(OC)=C1F
112-38-9,O=C(O)CCCCCCCCC=C
57294-38-9,O=C(OC(C)(C)C)NCCCC(=O)O
1878-68-8,O=C(O)CC1=CC=C(Br)C=C1
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1
2374-03-0,O=C(O)C1=CC=C(N)C(O)=C1
530-59-6,O=C(O)C=CC=1C=C(OC)C(O)=C(OC)C1
486-74-8,O=C(O)C=1C=CN=C2C=CC=CC21
53716-49-7,O=C(O)C(C=1C=CC2=C(C1)NC3=CC=C(Cl)C=C32)C
830-96-6,O=C(O)CCC1=CNC=2C=CC=CC21
35661-60-0,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)CC(C)C
86393-33-1,O=C(O)C1=CN(C2=CC(Cl)=C(F)C=C2C1=O)C3CC3
34157-83-0,O=C1C=C2C(=CC=C3C2(C)CCC4(C)C5CC(C(=O)O)(C)CCC5(C)CCC34C)C(=C1O)C
123-76-2,O=C(O)CCC(=O)C
516-05-2,O=C(O)C(C(=O)O)C
543-24-8,O=C(O)CNC(=O)C
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C
112-05-0,O=C(O)CCCCCCCC
139-13-9,O=C(O)CN(CC(=O)O)CC(=O)O
98-97-5,O=C(O)C1=NC=CN=C1
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1
22884-10-2,O=C(O)CN1C=NC=C1
89-86-1,O=C(O)C1=CC=C(O)C=C1O
13734-41-3,O=C(OC(C)(C)C)NC(C(=O)O)C(C)C
498-95-3,O=C(O)C1CNCCC1
30766-03-1,O=C(O)C1=NC=CC(Br)=C1
65-49-6,O=C(O)C1=CC=C(N)C=C1O
15761-39-4,O=C(OC(C)(C)C)N1CCCC1C(=O)O
80875-98-5,O=C(O)C1NC2CCCCC2C1
88744-36-9,O=C(O)C(N)C=1C=CC=CC1Cl
2516-96-3,O=C(O)C1=CC(=CC=C1Cl)N(=O)=O
13726-69-7,O=C(OC(C)(C)C)N1CC(O)CC1C(=O)O
53188-07-1,O=C(O)C1(OC=2C(=C(C(O)=C(C2CC1)C)C)C)C
7254-19-5,O=C(O)C1=CC=2C=C(Br)C=CC2N1
17791-52-5,O=C(OC(C)(C)C)NC(C(=O)O)CC1=CN=CN1
472-15-1,O=C(O)C12CCC(C(=C)C)C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1
41859-67-0,O=C(O)C(OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(Cl)C=C2)(C)C
745-65-3,O=C(O)CCCCCCC1C(=O)CC(O)C1C=CC(O)CCCCC
88495-63-0,O=C(O)CCC(=O)OC1OC2OC3(OOC24C(CC3)C(C)CCC4C1C)C
471-53-4,O=C(O)C1(C)CCC2(C)CCC3(C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1)C
166108-71-0,O=C(O)COCCOCCNC(=O)OCC1C=2C=CC=CC2C=3C=CC=CC31
640-68-6,O=C(O)C(N)C(C)C
1002-57-9,O=C(O)CCCCCCCN
6964-21-2,O=C(O)CC1=CSC=C1
875-74-1,O=C(O)C(N)C=1C=CC=CC1
20826-04-4,O=C(O)C=1C=NC=C(Br)C1
3262-72-4,O=C(OC(C)(C)C)NC(C(=O)O)CO
951-82-6,O=C(O)CC1=CC(OC)=C(OC)C(OC)=C1
556-33-2,O=C(O)CNC(=O)CNC(=O)CN
551-16-6,O=C(O)C1N2C(=O)C(N)C2SC1(C)C
636-46-4,O=C(O)C1=CC=C(O)C(=C1)C(=O)O
98303-20-9,O=C(OC(C)(C)C)N1CCCCC1C(=O)O
231291-22-8,O=C(O)C1=CN=C(C=C1)C(F)(F)F
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1
313-67-7,O=C(O)C1=CC=2OCOC2C3=C4C=CC=C(OC)C4=CC(=C13)N(=O)=O
135062-02-1,O=C(O)C1=CC=C(C=C1OCC)CC(=O)NC(C=2C=CC=CC2N3CCCCC3)CC(C)C
302-72-7,O=C(O)C(N)C
1118-68-9,O=C(O)CN(C)C
6600-40-4,O=C(O)C(N)CCC
617-62-9,O=C(O)CCC(C(=O)O)C
636-61-3,O=C(O)CC(O)C(=O)O
1783-96-6,O=C(O)CC(N)C(=O)O
14527-41-4,O=C(O)C=1SC=NC1
112-79-8,O=C(O)CCCCCCCC=CCCCCCCCC
843666-40-0,O=C(O)CCCCCCCCCCCCCCCCC(=O)OC(C)(C)C
92-92-2,O=C(O)C=1C=CC(=CC1)C=2C=CC=CC2
30766-11-1,O=C(O)C1=NC=C(Br)C=C1
2471-70-7,O=C(O)C1=CC=C2C=C(OC)C=CC2=C1
112704-79-7,O=C(O)C1=CC=C(Br)C=C1F
1135-24-6,O=C(O)C=CC1=CC=C(O)C(OC)=C1
1878-67-7,O=C(O)CC=1C=CC=C(Br)C1
6813-38-3,O=C(O)C=1C=CN=C(C1)C=2N=CC=C(C2)C(=O)O
13734-28-6,O=C(OC(C)(C)C)NC(C(=O)O)CCCCN
25812-30-0,O=C(O)C(C)(C)CCCOC1=CC(=CC=C1C)C
1138-80-3,O=C(O)CNC(=O)OCC=1C=CC=CC1
434-13-9,O=C(O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
28697-07-6,O=C(OCC=1C=CC=CC1)N2CCCCC2C(=O)O
71989-31-6,O=C(O)C1N(C(=O)OCC2C=3C=CC=CC3C=4C=CC=CC42)CCC1
632-20-2,O=C(O)C(N)C(O)C
110-94-1,O=C(O)CCCC(=O)O
98-89-5,O=C(O)C1CCCCC1
88-14-2,O=C(O)C=1OC=CC1
1975-52-6,O=C(O)C1=CC(=CC=C1C)N(=O)=O
499-83-2,O=C(O)C=1N=C(C=CC1)C(=O)O
2584-71-6,O=C(O)C1NCC(O)C1
4942-47-6,O=C(O)CC12CC3CC(CC(C3)C1)C2
882-09-7,O=C(O)C(OC1=CC=C(Cl)C=C1)(C)C
1798-09-0,O=C(O)CC=1C=CC=C(OC)C1
99-05-8,O=C(O)C=1C=CC=C(N)C1
93-09-4,O=C(O)C=1C=CC=2C=CC=CC2C1
552-16-9,O=C(O)C=1C=CC=CC1N(=O)=O
446-08-2,O=C(O)C1=CC(F)=CC=C1N
5728-52-9,O=C(O)CC=1C=CC(=CC1)C=2C=CC=CC2
100-26-5,O=C(O)C1=NC=C(C=C1)C(=O)O
1135-23-5,O=C(O)CCC1=CC=C(O)C(OC)=C1
496-41-3,O=C(O)C=1OC=2C=CC=CC2C1
1670-81-1,O=C(O)C=1C=CC=2NC=CC2C1
68858-20-8,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C(C)C
127-17-3,O=C(O)C(=O)C
541-48-0,O=C(O)CC(N)C
3878-55-5,O=C(O)CCC(=O)OC
1188-21-2,O=C(NC(C(=O)O)CC(C)C)C
5952-92-1,O=C(O)C=1C=NN(C1)C
22264-50-2,O=C(O)C1(N)CCC1
149-57-5,O=C(O)C(CC)CCCC
3973-08-8,O=C(O)C=1N=CSC1
2458-12-0,O=C(O)C1=CC=C(C(N)=C1)C
456-22-4,O=C(O)C1=CC=C(F)C=C1
375-85-9,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
